Terakhir,Pembukaan,Tertinggi,Terendah,Terakhir,Pembukaan,Tertinggi,Terendah
1843.30,1830.80,1847.40,1830.80,57.97,57.06,58.14,57.00
1823.90,1813.00,1823.80,1813.00,56.85,56.46,57.29,56.43
1801.80,1835.80,1835.80,1797.30,56.23,55.96,56.58,55.30
1845.70,1845.50,1847.30,1845.50,55.69,55.05,56.33,54.81
1843.10,1851.80,1851.80,1841.80,54.76,53.48,55.26,53.45
1871.50,1870.00,1875.90,1870.00,53.55,51.99,53.74,51.64
1859.50,1856.70,1886.10,1856.70,52.20,52.15,53.25,51.93
1851.30,1848.80,1873.80,1848.80,52.34,52.65,53.58,52.04
1859.50,1858.80,1860.80,1848.80,52.85,52.76,53.30,51.85
1865.60,1868.60,1868.60,1857.00,52.61,52.91,53.25,52.29
1869.60,1879.20,1879.20,1877.80,52.77,52.17,52.95,51.82
1870.20,1852.90,1869.70,1852.90,52.27,53.10,53.16,51.44
1879.50,1876.50,1879.40,1875.70,53.13,52.93,53.41,52.75
1880.50,1880.30,1880.30,1880.30,53.24,53.13,53.79,53.05
1855.00,1838.80,1858.80,1825.50,52.98,52.00,53.13,51.76
1836.60,1809.65,1839.45,1809.65,52.36,52.20,52.61,51.83
1809.75,1826.80,1829.10,1803.60,52.20,52.09,52.38,52.09
1846.40,1840.00,1842.00,1839.60,52.36,53.80,53.83,51.83
1869.20,1856.60,1870.20,1856.60,53.57,52.84,53.75,52.24
1872.70,1875.10,1875.10,1871.20,52.91,53.31,53.93,52.58
1862.40,1862.20,1866.00,1858.20,53.21,52.18,53.45,52.07
1869.60,1848.10,1867.80,1848.10,52.25,52.58,52.70,51.50
1854.20,1935.80,1935.80,1850.00,52.24,50.93,52.75,50.81
1932.80,1944.20,1946.70,1932.50,50.83,50.53,51.28,50.39
1929.10,1975.90,1979.90,1926.50,50.63,49.82,50.94,49.48
1974.90,1965.30,1975.50,1965.30,49.93,47.38,50.20,47.24
1966.70,1934.70,1967.80,1934.70,47.62,48.40,49.83,47.18
1914.00,1910.00,1915.20,1902.90,48.52,48.35,48.58,47.77
1911.80,1913.90,1913.90,1913.90,48.40,48.13,48.66,47.61
1900.80,1893.20,1900.30,1890.50,48.00,47.72,48.35,47.68
1898.00,1900.80,1912.00,1885.80,47.62,48.23,48.96,47.50
1900.00,1888.90,1897.00,1886.90,48.23,48.09,48.62,47.56
1894.20,1881.50,1892.30,1872.60,48.12,46.79,48.50,46.16
1886.50,1891.10,1892.00,1875.60,47.02,47.93,47.96,46.60
1898.30,1906.70,1906.70,1906.70,47.74,48.54,48.61,46.18
1903.90,1893.60,1903.70,1892.10,49.10,48.43,49.28,48.10
1904.90,1907.80,1907.90,1904.60,48.36,47.85,48.59,47.81
1873.70,1871.20,1876.00,1864.90,47.82,47.60,47.94,47.17
1870.90,1850.20,1865.70,1850.20,47.62,46.99,47.73,46.54
1847.90,1848.30,1849.10,1830.00,46.99,46.73,47.44,45.69
1858.70,1848.90,1859.50,1836.60,46.57,46.97,47.29,46.34
1852.50,1866.30,1866.30,1866.30,46.78,45.69,47.74,45.52
1853.10,1883.10,1883.10,1844.00,45.52,45.60,46.24,44.95
1889.80,1877.00,1886.60,1874.50,45.60,45.66,45.93,45.14
1881.30,1856.90,1873.20,1850.00,45.76,46.15,46.54,45.36
1855.60,1850.00,1860.40,1842.80,46.26,45.64,46.68,45.61
1855.10,1859.60,1862.30,1858.80,45.64,44.99,45.84,44.66
1844.60,1844.30,1844.30,1836.90,45.28,44.38,45.92,43.92
1834.60,1826.80,1826.80,1826.80,44.55,45.08,45.70,44.12
1797.20,1795.10,1795.10,1788.00,45.34,45.34,45.80,44.42
1804.80,1836.70,1836.80,1836.70,45.53,45.90,46.09,44.55
1807.00,1806.25,1816.80,1804.20,44.98,45.77,46.09,44.73
1827.50,1835.90,1835.90,1825.00,45.71,44.82,46.26,44.73
1829.00,1826.60,1828.00,1826.60,44.91,42.84,45.20,42.82
1862.70,1885.20,1889.60,1846.50,43.06,42.46,43.36,42.29
1896.30,1889.70,1893.80,1889.70,42.15,41.70,42.32,41.51
1885.30,1873.30,1877.50,1870.00,41.74,41.61,41.98,41.08
1897.10,1894.50,1894.50,1894.50,41.82,41.35,42.46,41.08
1910.90,1906.20,1906.20,1903.50,41.43,41.44,41.69,40.57
1914.80,1903.10,1904.70,1903.00,41.34,40.17,42.09,40.15
1915.90,1894.90,1913.90,1894.90,40.13,40.94,40.94,40.06
1902.80,1897.50,1897.50,1897.50,41.12,41.47,42.19,40.87
1890.20,1886.50,1886.50,1886.50,41.45,41.79,43.06,41.32
1906.50,1900.10,1900.10,1900.10,41.36,39.91,41.84,39.41
1884.00,1896.80,1896.80,1896.80,40.29,37.34,41.33,37.16
1982.20,1975.10,1975.10,1975.10,37.14,38.54,38.61,37.06
1976.40,1948.40,1968.30,1948.40,38.79,39.17,39.35,38.27
1925.10,1936.70,1936.70,1936.70,39.15,38.15,39.25,37.26
1938.60,1912.60,1928.00,1912.60,37.66,37.03,38.32,36.57
1921.10,1920.90,1920.90,1920.90,36.81,35.24,37.15,33.64
1908.30,1900.50,1900.50,1900.50,35.79,36.07,36.60,35.21
1896.90,1907.60,1907.60,1907.60,36.17,37.39,37.76,34.92
1908.90,1909.70,1909.70,1909.70,37.39,38.97,39.01,36.97
1942.00,1921.40,1933.50,1921.40,39.57,38.59,39.83,38.51
1936.00,1919.00,1926.10,1919.00,38.56,39.69,39.74,38.28
1935.10,1926.30,1926.40,1924.60,39.85,40.61,40.92,39.57
1934.10,1940.50,1940.50,1907.60,40.64,40.04,41.02,39.71
1958.50,1925.10,1948.60,1925.10,40.03,41.22,41.59,39.78
1944.50,1922.90,1936.60,1921.90,41.46,40.65,41.70,40.25
1941.20,1941.90,1941.90,1941.90,40.83,40.69,41.22,40.54
1936.40,1934.40,1934.40,1927.50,40.88,40.88,41.05,40.08
1938.80,1923.20,1923.20,1919.20,40.96,41.13,41.29,39.22
1938.00,1929.40,1929.40,1926.70,41.04,40.19,41.16,39.82
1924.50,1939.90,1939.90,1939.90,40.20,39.53,40.53,39.35
1958.70,1953.50,1957.70,1948.70,39.43,40.40,40.45,39.04
1956.00,1930.50,1956.20,1929.50,40.60,41.31,41.47,40.38
1925.50,1902.80,1916.20,1899.00,41.19,39.99,41.33,39.76
1919.50,1918.10,1918.10,1918.10,39.95,39.83,40.35,39.28
1936.30,1937.20,1942.20,1900.50,40.67,39.35,40.86,39.10
1947.00,1937.00,1937.00,1937.00,39.22,37.00,39.72,37.00
1934.40,1929.60,1933.70,1921.30,37.05,38.60,38.65,36.63
1943.20,1927.60,1935.50,1921.20,38.72,39.90,40.47,37.61
1922.70,1925.10,1925.10,1925.10,40.22,39.16,40.37,38.68
1930.20,1907.40,1921.20,1907.40,39.29,40.58,40.70,38.41
1909.20,1883.70,1905.50,1872.00,40.60,40.07,40.80,39.78
1892.90,1885.10,1885.10,1880.00,40.25,40.15,40.64,39.71
1903.10,1879.90,1892.60,1874.70,40.31,39.60,40.37,39.12
1895.30,1919.40,1919.40,1919.40,39.93,39.76,40.75,39.26
1936.10,1937.90,1940.50,1925.50,39.60,39.63,40.02,39.00
1938.60,1945.50,1945.50,1945.50,39.31,40.98,41.27,38.66
1990.50,1974.20,1982.00,1973.60,41.11,40.97,41.49,40.30
1978.20,1970.80,1974.40,1965.30,40.97,40.19,41.22,39.42
1999.90,1989.10,1997.90,1985.00,40.16,38.35,40.34,38.35
1995.60,1986.10,1997.50,1981.00,38.28,37.28,38.57,37.06
1993.10,1974.10,1987.80,1972.80,37.26,37.32,37.68,36.82
1976.50,1980.00,1980.00,1980.00,37.33,37.01,37.82,36.67
1992.10,1971.10,1991.40,1969.40,37.30,37.80,38.18,36.93
1981.40,1952.90,1973.60,1946.40,38.05,36.79,38.45,36.16
1970.30,1957.50,1965.90,1938.80,36.76,39.48,39.59,36.13
1937.10,1940.70,1947.40,1930.45,39.20,38.77,39.53,38.77
1940.65,1941.90,1944.30,1937.65,38.75,39.47,39.48,38.57
1961.60,1956.60,1959.50,1951.90,39.77,41.25,41.87,39.35
1965.40,1962.00,1969.00,1962.00,41.37,41.63,41.79,40.22
1974.30,1988.30,1990.90,1959.90,41.51,43.02,43.21,41.23
2009.30,2018.60,2018.60,1995.00,42.76,42.83,43.43,42.72
2009.50,1991.10,2002.30,1991.10,42.61,42.91,43.57,42.56
2001.30,1990.00,1990.00,1990.00,42.97,42.98,43.42,42.69
1963.60,1961.00,1961.00,1961.00,43.04,43.45,43.50,42.36
1985.30,1992.00,1992.00,1992.00,43.39,43.39,43.78,43.00
1956.10,1958.30,1958.40,1958.30,43.35,42.36,43.57,42.31
1973.30,1962.50,1979.40,1955.90,42.62,42.48,42.89,42.23
1980.60,1982.30,1982.30,1959.90,42.34,42.75,42.96,41.46
1980.20,1968.20,1971.20,1968.20,42.58,42.74,42.79,41.50
2003.60,2005.50,2005.50,2000.60,42.93,42.60,43.03,42.36
2047.70,2024.40,2041.10,2023.20,42.89,42.79,42.99,42.11
2032.60,1981.70,2012.30,1971.60,42.89,42.24,42.97,41.80
1987.80,2000.00,2000.00,1992.00,42.01,42.33,42.57,41.62
2009.70,1996.10,2001.50,1979.60,42.24,42.57,42.84,42.09
1987.90,1964.00,1964.00,1964.00,42.67,41.62,42.90,41.53
